rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,RxMAC,SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
1608719970112509965,,131,,1549879529,392270468,'',"""4c",131,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529392
1608719970232836008,,132,,1549879529,420461908,'',"""4c",132,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529420
1608719970362700939,,133,,1549879529,448928505,'',"""4c",133,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529448
1608719970492626905,,134,,1549879529,522567842,'',"""4c",134,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529522
1608719970622813940,,135,,1549879529,582087775,'',"""4c",135,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529582
1608719970752660036,,136,,1549879529,631656852,'',"""4c",136,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529631
1608719970872580051,,137,,1549879529,676094886,'',"""4c",137,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529676
1608719971012813091,,138,,1549879529,714204100,'',"""4c",138,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529714
1608719971142738103,,139,,1549879529,769825629,'',"""4c",139,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529769
1608719971282661914,,140,,1549879529,805612749,'',"""4c",140,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529805
1608719971422616958,,141,,1549879529,837228213,'',"""4c",141,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529837
1608719971522766113,,142,,1549879529,911626302,'',"""4c",142,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529911
1608719971642659902,,143,,1549879529,952151388,'',"""4c",143,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529952
1608719971742513895,,144,,1549879529,986438280,'',"""4c",144,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529986
1608719971872564077,,145,,1549879530,22486055,'',"""4c",145,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530022
1608719971982507944,,146,,1549879530,81470891,'',"""4c",146,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530081
1608719972102714061,,147,,1549879530,111035236,'',"""4c",147,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530111
1608719972212682008,,148,,1549879530,169644369,'',"""4c",148,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530169
1608719972343125104,,149,,1549879530,186459358,'',"""4c",149,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530186
1608719972453077077,,150,,1549879530,247409189,'',"""4c",150,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530247
1608719972582604885,,151,,1549879530,272850162,'',"""4c",151,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530272
1608719972722625017,,152,,1549879530,311030657,'',"""4c",152,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530311
